b0,A,B,C,D,E,F,G,Result,Delta
187,-19,-19,-19,-5,-12,3,-14,187.228922628532,4.503016270973603e-008
187,-19,-19,-18,9,4,19,17,187.2289225361827,4.731913350042305e-008
187,-19,-19,-16,-9,5,-13,11,187.2289226134449,2.994300984937581e-008
187,-19,-19,-13,2,5,17,-12,187.2289225308041,5.269779990157986e-008
187,-19,-19,-6,7,16,10,5,187.2289226327306,4.92287028919236e-008
187,-19,-19,-3,10,14,13,17,187.2289226645447,8.104285598165006e-008
187,-19,-19,0,-6,-8,-7,-12,187.2289226439374,6.043555345058849e-008
187,-19,-19,7,-4,-12,-14,8,187.2289225559034,2.759847461675236e-008
187,-19,-19,8,-4,-18,6,-6,187.228922535583,4.791885999111401e-008
187,-19,-19,11,-5,-2,-4,-17,187.2289225793951,4.106738060727366e-009
187,-19,-19,16,-10,-16,-10,-18,187.2289225170743,6.642756034125341e-008
187,-19,-19,19,-5,3,-15,-11,187.2289226200304,3.652857571978529e-008
187,-19,-18,-14,-6,-10,-17,0,187.2289226227334,3.923153713003558e-008
187,-19,-18,-6,6,3,14,10,187.2289224856141,9.788774946173362e-008
187,-19,-18,0,-3,-11,0,-3,187.2289226810316,9.752977803145768e-008
187,-19,-18,15,-10,-15,-13,-16,187.2289225339679,4.953392362949671e-008
187,-19,-18,19,5,19,4,-1,187.2289224954388,8.806304663266928e-008
187,-19,-17,-11,-7,1,-15,-18,187.2289225313891,5.211273901295499e-008
187,-19,-17,-11,7,18,11,2,187.2289225022854,8.121645578285097e-008
187,-19,-17,-9,5,-5,-3,15,187.2289225864898,2.987917468999513e-009
187,-19,-17,-7,4,2,-10,4,187.2289226789008,9.5398917210332e-008
187,-19,-17,-5,7,13,12,6,187.2289225453285,3.817336846623221e-008
187,-19,-17,-5,10,13,16,15,187.2289225213606,6.214128234205418e-008
187,-19,-17,9,-3,-3,-14,3,187.228922497499,8.600284218118759e-008
187,-19,-17,9,3,-4,14,2,187.2289224948561,8.864574851941143e-008
187,-19,-17,11,6,-7,17,17,187.2289226725206,8.901875503397605e-008
187,-19,-17,14,-10,-14,-16,-14,187.2289225513163,3.218553956685355e-008
187,-19,-17,15,-7,-9,-10,-12,187.2289225814371,2.06478034669999e-009
187,-19,-17,18,5,18,7,-3,187.228922498741,8.476089874420723e-008
187,-19,-16,-19,1,-15,1,17,187.2289226291314,4.562951971820439e-008
187,-19,-16,-18,-9,-14,-10,-16,187.2289225408497,4.265214670340356e-008
187,-19,-16,-17,-12,9,-11,-5,187.2289226164864,3.298450224065164e-008
187,-19,-16,-12,7,17,14,0,187.2289225776246,5.877296871403814e-009
