b0,A,B,C,D,E,F,G,Result,Delta
14,8,11,10,12,-12,18,16,14.13472514,5.90E-12
21,9,-18,-9,1,-10,18,3,21.02203964,3.03E-11
25,-8,-9,10,-1,2,-2,-6,25.01085758,6.92E-11
30,-11,-13,14,-16,-9,-12,-17,30.42487613,7.47E-12
32,10,-12,-5,17,7,16,-5,32.93506159,4.53E-12
37,13,-19,17,9,16,-7,6,37.58617816,1.06E-12
40,16,3,15,-14,-19,-11,15,40.91871901,3.79E-11
43,5,6,-18,-14,-17,-13,-13,43.32707328,1.09E-12
48,12,-7,0,13,-11,15,16,48.00515088,1.70E-10
49,15,11,5,-18,-4,-13,-6,49.77383248,2.39E-11
52,-15,1,16,-19,-6,-4,-10,52.97032148,4.63E-12
56,16,18,19,8,12,11,-6,56.4462477,5.88E-12
59,-18,-7,-17,11,18,17,-3,59.347044,7.18E-13
60,3,-12,8,-19,11,-12,-16,60.83177852,5.14E-12
65,-18,-18,4,-4,-12,-8,-16,65.11254405,5.84E-12
67,-10,-11,-18,-3,-18,-11,-9,67.07981053,1.42E-11
69,-14,-13,4,-11,-1,-18,-2,69.54640171,3.18E-11
72,2,-3,-6,-1,-19,-1,5,72.06715767,1.90E-12
75,4,12,-4,15,18,19,-16,75.7046907,1.74E-11
77,4,2,0,2,-4,13,5,77.14484007,1.01E-12
79,-3,1,1,-6,1,-18,-1,79.33737502,6.01E-11
82,11,-3,5,15,17,-9,8,82.91038085,9.66E-12
84,-18,-1,-15,-7,2,-18,2,84.73549298,1.13E-11
87,16,2,-4,-6,-19,-2,7,87.42527461,1.35E-11
88,14,5,14,5,8,1,-4,88.80911121,2.84E-13
92,-10,-5,-17,-3,10,-7,-7,92.49189927,9.55E-12
94,13,6,-15,-2,-9,3,3,94.65134404,2.23E-11
95,4,17,-12,-19,-6,-16,0,95.87063423,2.29E-11
98,10,-1,-7,16,-7,17,1,98.83119422,2.03E-12
101,9,-6,-12,14,16,17,11,101.317851,1.24E-11
103,2,11,-3,18,0,9,15,103.725538,3.24E-11
105,-8,-1,-19,11,8,-2,19,105.4466231,5.26E-13
107,-16,-2,0,4,8,4,12,107.1686112,1.44E-12
111,-19,6,0,1,14,9,11,111.0295355,1.54E-11
111,16,-18,-12,-18,-12,-19,10,111.8746592,5.12E-12
114,8,-8,0,9,18,3,7,114.3202209,7.25E-13
116,17,-11,15,-10,-11,-18,-15,116.2266803,1.90E-12
118,-10,7,0,-14,14,-15,-15,118.7907829,2.00E-11
121,-15,-1,-8,-6,-7,-2,-8,121.370125,2.07E-11
122,10,-11,9,-15,-12,8,-12,122.9468293,3.68E-12
124,8,-6,-8,-11,-16,-10,-17,124.2568186,1.15E-11
127,-4,9,-1,12,10,18,-5,127.5166839,2.19E-11
129,10,0,-4,-19,-11,-11,-11,129.5787042,1.37E-11
131,14,14,19,2,14,-5,13,131.0876885,1.17E-11
133,12,10,-12,-7,-6,-14,6,133.4977372,6.25E-13
134,14,-19,14,-15,-3,-5,-12,134.7565098,6.62E-12
138,14,10,5,-4,0,-17,-17,138.1160421,4.89E-12
139,-19,0,-17,16,13,15,-6,139.736209,1.71E-13
141,-3,-2,8,1,7,19,-18,141.1237074,2.16E-11
143,-9,-2,-12,4,14,3,19,143.1118458,1.07E-11
146,11,14,-14,17,6,-18,-3,146.0009825,8.63E-11
147,-2,4,-5,2,1,-5,9,147.4227653,1.20E-11
150,-7,10,-9,-1,4,-18,-5,150.0535204,1.57E-11
150,4,13,15,-17,-10,9,-17,150.9252576,6.76E-12
153,-17,-10,-12,1,7,15,19,153.0246938,1.67E-10
156,-13,-11,0,-3,-13,2,-16,156.1129093,7.42E-12
157,-14,15,7,-6,-15,5,0,157.5975918,1.42E-11
158,-10,9,5,7,7,18,-17,158.8499882,1.87E-11
161,2,-4,-19,2,15,-10,6,161.1889641,8.95E-12
163,-5,-9,-15,1,9,5,19,163.0307097,3.03E-11
165,9,-9,8,19,7,15,13,165.5370692,8.21E-12
167,-10,-9,-10,-3,-13,11,-15,167.18444,1.65E-12
169,18,-15,-19,-3,-10,-11,-11,169.0945154,7.11E-13
169,11,10,-5,-19,6,-5,-17,169.9119765,5.91E-12
173,7,-9,-18,-6,-11,-14,10,173.4115365,8.95E-12
174,13,2,-19,16,6,16,-1,174.7541915,4.10E-11
176,16,11,-15,6,7,-6,12,176.4414343,3.10E-12
178,-5,17,17,9,8,-3,18,178.3774078,2.22E-12
179,5,-18,-17,-8,10,0,-17,179.916484,1.73E-11
182,-13,0,15,5,4,13,7,182.2070785,8.84E-12
184,-16,-15,1,-11,0,6,-19,184.8744678,1.41E-11
185,-1,15,19,13,17,-8,12,185.5987837,2.63E-11
187,13,-13,-5,11,19,12,17,187.2289226,5.23E-12
189,4,5,6,9,0,16,5,189.4161587,3.33E-12
192,-13,-19,-18,1,18,10,10,192.0266564,9.21E-12
193,5,7,-2,-2,-17,-17,9,193.0797266,6.25E-12
195,-9,14,-15,5,4,1,14,195.2653967,6.76E-12
196,12,4,-14,-13,-15,-5,5,196.8764818,1.77E-11
198,-13,-13,-14,1,-1,3,17,198.0153097,9.22E-11
201,-9,14,0,8,4,18,8,201.2647519,5.00E-12
202,10,1,-6,8,11,13,-8,202.4935945,2.73E-11
204,14,-2,12,-3,-5,7,-17,204.1896718,3.18E-11
205,8,-4,8,8,19,-3,4,205.3946972,4.04E-12
207,-8,-4,18,10,2,1,7,207.9062589,2.12E-11
209,13,-6,5,14,19,10,-5,209.5765097,1.06E-11
211,-8,-4,7,-15,-14,-6,-2,211.6908626,5.12E-13
213,8,-16,-11,-4,-6,-16,10,213.3479194,6.28E-12
214,-18,-10,-5,-11,-1,-6,-14,214.5470448,8.90E-12
216,-18,-18,-2,14,2,5,-2,216.1695385,3.17E-11
219,-5,-14,-14,2,10,16,4,219.0675963,1.66E-11
220,-4,-19,14,-5,0,6,-4,220.7149188,8.04E-12
221,-6,-15,6,-8,-8,-12,1,221.4307056,1.57E-11
224,7,-15,-14,-1,-6,17,-12,224.0070003,2.20E-10
224,17,10,9,16,3,14,-2,224.9833247,5.88E-12
227,6,-7,-3,-7,0,-11,-6,227.4214443,1.45E-12
229,3,-6,-16,-9,-14,-17,4,229.3374133,1.92E-11
231,0,10,-5,-6,-6,-13,-5,231.2501887,4.01E-12
231,1,-6,19,18,4,-4,17,231.9872353,1.85E-11
233,15,-16,4,19,7,6,14,233.6934042,2.22E-11
236,-4,-12,17,-13,-11,-2,-12,236.5242297,1.15E-11
