b0,A,AI,B,BI,C,CI,ResultReal,ResultImag,Delta
32,-18,10,19,-1,0,8,-0.0002431650983378219,33.13519064113486,0.5387901838755483
32,-18,11,19,-15,0,8,-0.0002423491342816917,33.02347730908352,0.5079958145971513
32,-18,11,19,13,0,8,-0.0002435047780175718,33.18169604181711,0.5577383956757042
32,-18,10,19,17,0,8,-0.0002423491697603669,33.02347730851474,0.5079958145330931
32,-18,10,19,-4,0,8,-0.0002423493044054954,33.02350060067538,0.5079998691404531
32,-18,12,19,-2,0,8,-0.0002423493739222847,33.02350526024909,0.5080006804268861
32,-18,12,19,-8,0,8,-0.0002461254163512819,33.54048126705177,0.7853528978064716
32,-18,11,19,6,0,8,-0.0002424769885525192,33.0409817929345,0.5113331845795437
32,-18,12,19,-5,0,8,-0.000245138480799494,33.40536054755398,0.6866049156367451
32,-18,11,19,-18,0,8,-0.0002423691024520332,33.02621114444687,0.5084787798259037
32,-18,10,19,-10,0,8,-0.0007009376286212904,33.03541013754605,0.5106576743675947
32,-18,10,19,18,0,8,-0.001200700772016541,33.04337018964528,0.5127698272141332
32,-18,12,19,-4,0,8,-0.0002429080871400396,33.09999847162029,0.5267325153774782
32,-18,11,19,-12,0,8,-0.0002425089736196208,33.04536085715546,0.5122582323574547
32,-18,11,19,-9,0,8,-0.0002426369992774671,33.0628888038109,0.5163162722989021
32,-18,11,19,5,0,8,-0.0002427331088670285,33.07604713215466,0.5197304260502305
32,-18,11,19,9,0,8,-0.0002424130797600555,33.03222720328603,0.509591629335155
32,-18,11,19,16,0,8,-0.0002449325294687259,33.37716878130699,0.6676104875792538
32,-18,11,19,-19,0,8,-0.0002423513804922389,33.02378483700201,0.5080494317233671
32,-18,10,19,-5,0,8,-0.0002423528000538427,33.02397433068106,0.5080825596223324
32,-18,11,19,-11,0,8,-0.001199981321809138,33.02347726100853,0.5089388495258071
32,-18,11,19,10,0,8,-0.0002424130797600555,33.03222720328603,0.509591629335155
32,-18,11,19,12,0,8,-0.0002428614106753115,33.09360801582788,0.5247665102233757
32,-18,10,19,-2,0,8,-0.0002426108010232726,33.05930201038782,0.5154399599186457
32,-18,12,19,1,0,8,-0.0002423491701841282,33.02347736653176,0.5079958246312665
32,-18,12,19,2,0,8,-0.0002423567935507959,33.02452107890278,0.5081785277730791
32,-18,11,19,-8,0,8,-0.0002424450121506666,33.03660391498314,0.5104442653354542
32,-18,10,19,-9,0,8,-0.001200035254883201,33.0249683903114,0.5092000672508344
32,-18,10,19,19,0,8,-0.0002423495667813749,33.02353166451737,0.5080052783044984
32,-18,11,19,-17,0,8,-0.0002423503821515664,33.02364815452173,0.5080255790117034
32,-18,10,19,-6,0,8,-0.001200143125670445,33.02795105830078,0.5097352618864076
32,-18,10,19,1,0,8,-0.0002432561041502789,33.14765020921499,0.5435413850468652
32,-18,11,19,-10,0,8,-0.0002435047780177681,33.18169604184398,0.5577383956875844
32,-18,11,19,-16,0,8,-0.001199981624674104,33.02348580353891,0.5089403339492449
32,-18,12,19,-1,0,8,-0.000243610427676909,33.19615560661205,0.5642816286792397
32,-18,10,19,2,0,8,-0.0002437513559895548,33.21545492117669,0.5734668536253017
32,-18,11,19,-13,0,8,-0.0002423495710048096,33.0235371006964,0.5080062250576864
32,-18,12,19,-3,0,8,-0.000242523550602956,33.04735172532096,0.5126906058885881
32,-18,12,19,0,0,8,-0.0002423622394452617,33.0252666743398,0.5083103172546514
32,-18,12,19,3,0,8,-0.0002423491697686757,33.0234773096523,0.507995814731091
32,-18,11,19,11,0,8,-0.0002423531630934217,33.02402403429841,0.5080912603026659
32,-18,10,19,5,0,8,-0.0002456468309126648,33.47496337264761,0.7360296492129779
32,-18,11,19,-7,0,8,-0.0002425729692875688,33.05412248115351,0.5142160325695314
32,-18,10,19,16,0,8,-0.001200988795175836,33.05133413797926,0.514511163249731
32,-18,12,19,4,0,8,-0.0002423491771637321,33.02347832210679,0.5079959909551628
32,-18,11,19,1,0,8,-0.0002423491342816917,33.02347730908352,0.5079958145971513
32,-18,11,19,-4,0,8,-0.0002428613751172773,33.09360801579962,0.524766510180944
32,-18,12,19,-17,0,8,-0.001199981338741555,33.02347758862603,0.5089389064581094
32,-18,10,19,7,0,8,-0.0002423818112392117,33.02795110012976,0.5087935751091395
32,-18,11,19,-6,0,8,-0.0002429897795369706,33.11118781478147,0.530342810525154
32,-18,10,19,11,0,8,-0.0002424944339158944,33.04337023147298,0.5118332888206065
32,-18,10,19,12,0,8,-0.0002423491342359921,33.0234773028268,0.5079958135081348
32,-18,12,19,-13,0,8,-0.0002423491342858461,33.0234773096523,0.5079958146961497
32,-18,11,19,-2,0,8,-0.0002459816223805193,33.52079946155764,0.7702823501513532
32,-18,12,19,9,0,8,-0.0002440338165992361,33.25412157839479,0.593332428749901
32,-18,10,19,13,0,8,-0.0002423491342359921,33.0234773028268,0.5079958135081348
32,-18,11,19,3,0,8,-0.0002470398871565941,33.66568576519843,0.8854709422696233
32,-18,11,19,2,0,8,-0.0002423491537345722,33.02347997237074,0.5079962781632361
32,-18,10,19,10,0,8,-0.0002428147168789849,33.08722005426227,0.5228719466662196
32,-18,12,19,15,0,8,-0.001206226390574284,33.19615556456422,0.5651351573800603
32,-18,12,19,-14,0,8,-0.00367174297281831,33.06079170789963,0.5191274292356683
32,-18,12,19,-19,0,8,-0.0002423535261341055,33.02407373806702,0.508099965722641
32,-18,11,19,0,0,8,-0.0002449325294673821,33.37716878112301,0.6676104874574164
32,-18,10,19,15,0,8,-0.0002423491697188216,33.0234773028268,0.507995813543076
32,-18,12,19,-18,0,8,-0.0002423493739222847,33.02350526024909,0.5080006804268861
32,-18,12,19,-11,0,8,-0.003664557563289639,33.02735182177138,0.5120502649575928
32,-18,12,19,-15,0,8,-0.001199988062539681,33.02366364475595,0.5089712688762409
32,-18,12,19,13,0,8,-0.0002423491771637321,33.02347832210679,0.5079959909551628
32,-18,12,19,7,0,8,-0.001199981326893012,33.02347726100934,0.5089388495309545
32,-18,12,19,16,0,8,-0.0002423622039605211,33.02526667434015,0.5083103172197917
32,-18,12,19,12,0,8,-0.0002455944190534988,33.46778277421963,0.730778706080573
32,-18,12,19,-12,0,8,-0.00120000289749266,33.02407369623989,0.5090428256681224
32,-18,12,19,11,0,8,-0.001201190495099105,33.05691121630429,0.5158003153693858
32,-18,12,19,14,0,8,-0.0002423709179101658,33.02645969819642,0.5085233959777303
32,-18,11,19,14,0,8,-0.000245981658396555,33.52079946174467,0.770282350316969
32,-18,12,19,-10,0,8,-0.0002423516201826308,33.02381279494045,0.5080543151417689
32,-18,12,19,-6,0,8,-2.361229159249375e-312,33.02347731143106,0.5077571665628724
32,-18,11,19,7,0,8,-2.361229158271125e-312,33.02347730460556,0.5077571653743482
32,-18,12,19,-7,0,8,-0.0002423622394452624,33.0252666743399,0.508310317254669
32,-18,12,19,6,0,8,-2.363963424940378e-312,33.04257404237924,0.5114283213733174
32,-18,12,19,10,0,8,-2.361229159249375e-312,33.02347731143106,0.5077571665628724
