b0,A,B,C,D,E,F,G,Result,Delta
107,-19,-19,-4,1,9,7,-9,107.1686112163456,3.206919529930019e-008
107,-19,-19,-3,2,-4,9,11,107.1686111724884,1.17880318839525e-008
107,-19,-19,2,4,-7,18,14,107.1686112782971,9.402067746577814e-008
107,-19,-19,5,6,7,10,19,107.1686110858318,9.844460180374881e-008
107,-19,-19,8,-6,-16,-4,-16,107.1686110932671,9.100932629735326e-008
107,-19,-19,8,-2,8,-5,-10,107.1686112761636,9.188720184738486e-008
107,-19,-19,14,-5,-18,-1,-11,107.168611182479,1.797360482669319e-009
107,-19,-19,14,5,7,6,17,107.168611163711,2.056539472050645e-008
107,-19,-19,15,1,-15,14,6,107.1686111222874,6.198904145549022e-008
107,-19,-19,15,4,15,1,8,107.168611147696,3.658036007436749e-008
107,-19,-19,17,-6,-4,-19,-13,107.168611231994,4.771757744492788e-008
107,-19,-19,19,-18,12,-14,-15,107.1686111436429,4.063350900196383e-008
107,-19,-18,-15,-5,2,-1,-16,107.1686112064918,2.221540285063384e-008
107,-19,-18,-10,6,15,19,2,107.168611090174,9.410241830209998e-008
107,-19,-18,-3,5,-4,17,18,107.1686111959719,1.16954907980471e-008
107,-19,-18,2,1,2,10,-4,107.1686111190403,6.523609386022145e-008
107,-19,-18,7,-6,-15,-7,-14,107.1686111755145,8.761858794059663e-009
107,-19,-18,8,5,8,17,5,107.1686110919275,9.234889830622706e-008
107,-19,-18,8,6,2,16,18,107.1686110998633,8.441310228590737e-008
107,-19,-18,13,-5,-17,-4,-9,107.1686112353234,5.104703859615256e-008
107,-19,-18,16,4,10,9,5,107.1686112649357,8.065929080203205e-008
107,-19,-17,-11,4,-3,14,15,107.1686112363612,5.208481468343962e-008
107,-19,-17,-3,6,11,12,13,107.168611211045,2.676863175565813e-008
107,-19,-17,3,6,6,13,17,107.1686111115472,7.272917912359844e-008
107,-19,-17,3,12,11,-15,-9,107.1686112801136,9.583717996974883e-008
107,-19,-17,6,-6,-14,-10,-12,107.1686112600248,7.574834626211668e-008
107,-19,-17,18,5,-1,15,16,107.1686111290838,5.519264334452601e-008
107,-19,-16,-15,4,-13,17,9,107.1686112190833,3.4806859616765e-008
107,-19,-16,-13,-3,-11,7,-15,107.168611196628,1.235157753853855e-008
107,-19,-16,-12,4,-3,14,15,107.1686111229063,6.137011610007903e-008
107,-19,-16,-11,-8,-11,-18,-19,107.1686112365611,5.228467614415422e-008
107,-19,-16,17,-5,-10,-8,-12,107.1686111733572,1.091923707008391e-008
107,-19,-16,19,3,10,16,-8,107.1686112054319,2.115550046255521e-008
107,-19,-15,-18,3,-4,-6,15,107.1686111353456,4.893080074452882e-008
107,-19,-15,-18,5,-1,14,18,107.1686111260181,5.825835103223653e-008
107,-19,-15,-13,-4,12,-17,-5,107.1686112835738,9.929736677349865e-008
107,-19,-15,-8,6,17,1,18,107.1686112738538,8.957741215454007e-008
107,-19,-15,-3,-1,-12,5,0,107.1686112536628,6.938640240150562e-008
107,-19,-15,0,5,19,-2,13,107.1686111258041,5.847233808253805e-008
